Phrase,Frequency
sustainable,30
pedestrian,29
accessibility,28
car,23
infrastructure,21
cycling,18
environmental,16
minute,16
environment,15
equity,15
literature,15
choice,14
review,14
characteristics,13
but,12
transit,12
climate,11
noise,11
not,11
safety,11
share,11
active,10
classification,10
metro,10
national,10
out,10
platform,10
they,10
further,9
residential,9
walking,9
adoption,8
emotions,8
mod,8
modes,8
plastic,8
pollution,8
smart,8
superb,8
systematic,8
tool,8
adults,7
bike,7
charge,7
costs,7
outcomes,7
specific,7
sustainability,7
towards,7
users,7
all,6
benefits,6
context,6
crowded,6
electoral,6
extreme,6
flows,6
highlight,6
improvements,6
km,6
live,6
major,6
methodology,6
need,6
opportunities,6
other,6
after,5
attributes,5
barcelona,5
cars,5
congestion,5
diverse,5
each,5
experienced,5
had,5
interventions,5
journeys,5
mental,5
neighborhood,5
pedestrians,5
physical,5
recent,5
reduce,5
reducing,5
response,5
ride,5
route,5
shared,5
stations,5
stress,5
suburban,5
suggest,5
supporters,5
terms,5
therefore,5
thus,5
transformation,5
walk,5
willingness,5
